Radius,Perimeter,Area,Texture,Compactness,Concavity,Symmetry,Fractal Dimension,Coastline Approximation,GreyScale Value,Diagnosis
-1.277746068,0.136328999,0.302742874,0.649935004,2.066470636,0.38835597,0.518386102,1.475890815,-0.592826588,0.867871152,1
-0.244532149,-0.839729945,-0.582310728,2.292298174,2.498647371,-1.027768321,-0.022673023,-0.229093653,-0.184422522,0.513934342,1
-0.753564834,1.518811916,0.694161936,0.187991633,-0.432306605,0.727100712,0.075189626,-0.493673978,-0.690754679,1.177930625,-1
0.962339126,1.114086985,-0.919880108,-1.182903946,0.245095274,-0.032425671,0.082554565,-0.171692552,-0.500819356,-0.571830841,-1
-0.036480744,1.656121128,-0.042862993,-0.176315598,1.605900568,0.191399917,0.131232982,-2.012479547,0.633368709,1.019682916,1
-1.255082238,-1.108519255,0.365672697,-0.651466289,-2.464246723,-0.771792249,-0.469889399,-0.255596755,-1.056119852,0.711133778,1
1.715203081,-0.023291904,1.861275701,1.43145562,1.515801365,0.40454061,-0.069936478,-0.905731703,-0.184354603,-0.588679297,1
-0.50885498,-2.454330045,1.04919821,-0.001803209,1.664488587,-0.898403413,0.193938529,-2.621952485,1.02155185,2.745930919,1
-0.520708932,0.429767214,0.543041949,-0.076746058,0.031007576,-1.927721012,-0.62331122,1.972360581,0.611343283,-0.528685945,1
0.368986601,0.780342763,0.229962031,-1.464288218,-1.626009659,0.121672867,1.397194068,-0.133932834,1.330199256,0.148037907,1
-0.77946747,-1.284215808,-0.344678325,-0.198750464,-1.865087852,0.413843667,1.257145806,0.275937561,1.080980646,0.936826646,1
-0.97839799,0.960975318,-0.379159482,-0.817739751,0.357733352,-0.168053012,-0.813880595,0.181903445,-0.991354869,-0.51273189,-1
-1.953212303,1.280169164,-0.400370824,-0.339826462,-0.385275848,0.370480675,-0.195648463,0.643107403,2.133369106,-0.508871633,1
1.942767232,0.915964993,0.027743257,-0.863535886,-0.371201093,-0.188509018,-1.026729294,-1.310459589,-1.059085629,0.467036565,1
0.010171959,-0.053404944,-0.636190466,1.186846834,0.456108443,-0.110896853,1.375265603,-1.561249009,0.43777983,-0.410126444,-1
-0.484786343,1.153403815,-0.030709402,0.254694764,0.027507202,-0.633953426,0.744832568,0.602346334,0.842577651,-0.596747933,-1
2.485383963,1.145599023,-0.790250742,1.098622333,0.238560136,-0.731029917,0.167750376,1.140475461,0.230682652,0.369496285,1
-0.508123793,1.614167956,-0.547174184,-1.52736647,-0.706589061,2.781286622,0.347663973,1.205662576,-0.536210969,-0.305183836,1
-2.100446175,0.127964323,0.821704727,1.081554376,-0.024056931,-1.769008259,1.092442246,0.866718447,-0.462582945,1.891027512,1
-0.735274286,-0.97504853,-0.572572208,-0.255175541,-1.697137886,-0.643219701,0.206879433,0.052388922,-0.035707865,-0.427810567,-1
-0.681914502,2.958131103,-0.827290949,0.551086387,-0.217641375,-1.215384298,-0.131383958,0.343535154,0.581118441,-1.325437897,1
0.17398747,-2.104410435,-2.499315331,1.358807413,1.492048282,0.842508715,0.327051081,1.688934427,-0.468572881,0.981401086,1
0.545486558,1.828647927,0.100706307,0.404361108,1.050133693,0.326250134,2.274113759,2.10644453,-0.531818991,1.44980653,1
0.645766681,1.051362403,0.293595714,0.34651415,1.514194317,0.890542411,0.039655224,-0.902053624,0.37473821,0.873164949,-1
0.790721746,-2.30926323,0.568128652,-0.112575612,1.629374736,-0.303705781,-0.289130523,1.153660334,-0.122126532,-0.835205123,1
-0.082466648,0.357117881,-0.41176441,-1.874495566,-1.520146975,0.71456864,-0.288805564,0.506781212,0.302456891,-1.343454763,-1
-0.341617364,1.034519863,-0.904559926,-1.217324736,1.145652436,-0.257767316,0.394058518,-2.322298103,-0.357402657,0.71061368,1
0.049172833,0.934099904,0.809947158,-0.154161837,0.424531468,-0.402848551,0.735700074,-1.003794952,-1.394577301,0.229612251,-1
-0.420243233,0.27354203,0.914689143,-2.993515711,0.975458996,0.082930914,0.263811697,0.409664304,1.221274328,-0.147615318,1
-1.092862765,0.460454362,-0.766374239,0.364093871,-0.199693647,-0.853018955,1.074922926,-0.569732487,-0.252007888,2.969656228,1
-0.983565517,-2.225318671,-0.519482204,-0.021674009,0.790386283,-0.028150748,3.602109208,0.337060827,0.293654506,0.489739064,1
-0.994481168,-0.329528111,0.381386401,0.37411678,-1.235005294,-1.191817895,-0.645741668,-0.491353401,-1.372561469,-1.49064488,-1
0.889931792,-1.465551321,-0.014358935,1.460313127,-0.204030549,-0.035045776,-1.197973616,-0.44858115,0.110435925,0.365083533,-1
-0.685472111,-0.805734238,0.701061207,-0.73936043,-0.045766051,0.126843736,-0.364579837,0.599011163,-0.897544096,-0.159956471,-1
1.323011461,0.486450338,0.614256771,-0.784329404,-0.844145555,1.089251743,0.050452675,0.108803216,-0.749452668,-0.802104821,-1
-0.87433425,2.125817574,-0.332006752,-1.181306332,0.443899846,-0.297901634,-1.082422495,0.634178558,1.033821499,-0.07032735,1
-0.962103648,-0.393489389,0.991278975,1.748156732,0.968480203,1.093566671,-1.042334793,0.287334587,1.421492353,-0.197967891,1
1.026690029,-0.501514553,0.801146748,1.296338054,-0.082473163,0.268688149,0.853341102,-1.800758055,-2.281419734,1.447332676,1
0.215225242,-1.798692509,1.68090643,-1.651485427,0.236432471,-0.458009611,-0.736026428,-0.538035362,0.269971748,0.543149043,1
1.075976543,-0.043808019,0.48919325,0.156688589,1.618092627,-0.524481111,-0.895062275,-0.327255417,0.440976054,-0.323400376,-1
-0.752918583,-0.232607995,-0.104060993,-0.507950116,-1.37338103,-0.244303079,-1.228576707,-1.806646426,2.302841479,0.501314387,1
-0.473172926,1.342845049,-0.021059476,0.498224228,-0.360054091,0.455232041,-0.162997235,-1.697196383,0.560916077,0.281928442,-1
0.887054038,-0.279191088,-0.422969265,-1.134398861,-2.1330086,0.992753843,1.559248525,-0.812072774,0.3604432,0.57876964,1
-0.614490444,-0.247520665,0.187859354,-0.896453447,-0.31736779,-1.134029998,-0.266843272,-1.992063658,0.430218861,1.183920387,-1
-0.53307013,-0.909212309,-0.742166676,1.232211668,-0.960231301,1.924280704,0.25474306,1.180906242,0.212659813,-0.869430146,1
0.381356656,-0.208994104,-0.381106736,-1.766365747,0.112563716,-0.897968281,-1.337279776,-1.404167463,-0.382454828,-0.992345329,-1
0.521926966,0.788308057,-0.462450695,-1.44154616,-1.531573115,0.088643205,-0.656314488,-1.160020836,0.702080416,-0.351948349,-1
1.041053819,0.436600547,-1.533446527,1.787560133,0.01667781,0.571367069,-0.150761206,0.725770668,-0.957287026,-0.044297436,-1
0.067678653,-0.034191844,0.199899163,0.436342725,-0.031174481,1.825313103,1.107524628,0.547938905,-0.67898303,-2.482277608,1
-0.401380108,0.174023303,-0.610374403,-0.454166997,0.798344342,-0.474110872,-1.016597168,-0.187902237,-0.824299263,-0.140608538,-1
-1.307283583,2.11004153,-0.839927139,1.197097164,1.200975945,-1.086189134,-0.278814403,-0.710618794,-0.540805163,0.220808616,1
0.110125081,-0.156131608,-1.610703764,-0.035472019,-0.26674006,-0.128636677,0.485844635,-0.68240371,1.376749801,-1.082010538,-1
-1.333949685,-0.485871566,1.435413068,-0.348721509,0.17768351,0.048326781,0.274119039,-0.557212818,-1.014978111,0.530557784,-1
-0.82667816,-0.610918455,1.810247268,-0.969028399,0.607012585,0.05169805,-0.320724069,-0.673081693,2.03162798,-0.835086464,1
-0.080712216,-0.529443679,0.763306331,-0.294435939,-0.419610919,-0.561373979,1.935678027,-0.286788429,0.656727824,-2.034898857,1
-0.412618129,-0.051547356,1.138583153,1.583394084,1.210477331,-0.960880458,-0.635548741,0.844725359,1.598554187,0.663055148,1
0.440090306,-0.637175432,-0.293798381,0.560913988,0.756327946,-1.28399681,0.381124594,-0.947877234,0.54774243,0.194304438,-1
-1.221699522,0.723185503,0.301262944,0.852438721,-0.743193249,0.999502207,-0.367276967,-0.018129435,-0.214596203,0.138314391,-1
1.527807661,-1.156275098,-1.25706617,0.299819471,1.249803935,0.01568613,-0.068654204,-0.579849342,-0.920765962,0.052332954,-1
